Query;Match;KEGG;Pathway
n-acetylornithine;N2-Acetylornithine;C00437;Arginine biosynthesis
l-aspartic acid;L-Aspartic acid;C00049;Arginine biosynthesis
n-acetyl-l-glutamate 5-semialdehyde;N-Acetyl-L-glutamate 5-semialdehyde;C01250;Arginine biosynthesis
l-arginine;L-Arginine;C00062;Arginine biosynthesis
l-valine;L-Valine;C00183;Pantothenate and CoA biosynthesis
l-aspartic acid;L-Aspartic acid;C00049;Pantothenate and CoA biosynthesis
l-cysteine;L-Cysteine;C00097;Pantothenate and CoA biosynthesis
uric acid;Uric acid;C00366;Purine metabolism
deoxyinosine;Deoxyinosine;C05512;Purine metabolism
guanine;Guanine;C00242;Purine metabolism
sulfate;Sulfate;C00059;Purine metabolism
inosine;Inosine;C00294;Purine metabolism
l-valine;L-Valine;C00183;Valine, leucine and isoleucine biosynthesis
l-threonine;L-Threonine;C00188;Valine, leucine and isoleucine biosynthesis
l-aspartic acid;L-Aspartic acid;C00049;Glycine, serine and threonine metabolism
l-threonine;L-Threonine;C00188;Glycine, serine and threonine metabolism
choline;Choline;C00114;Glycine, serine and threonine metabolism
l-cysteine;L-Cysteine;C00097;Glycine, serine and threonine metabolism
cis-4-hydroxy-d-proline;cis-4-Hydroxy-D-proline;C03440;D-Amino acid metabolism
diaminopimelic acid;Diaminopimelic acid;C00666;D-Amino acid metabolism
2-oxoarginine;2-Oxoarginine;C03771;D-Amino acid metabolism
l-aspartic acid;L-Aspartic acid;C00049;D-Amino acid metabolism
l-threonine;L-Threonine;C00188;D-Amino acid metabolism
l-cysteine;L-Cysteine;C00097;D-Amino acid metabolism
l-arginine;L-Arginine;C00062;D-Amino acid metabolism
